Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,17.0,6,250.0,,,15.5,71,US
Ford Torino 500,19.0,6,250.0,88.0,,15.5,71,US
AMC Matador,18.0,6,232.0,,,15.5,71,US
Chevrolet Impala,14.0,8,350.0,,,12.0,71,US
Pontiac Catalina Brougham,14.0,8,400.0,,,11.5,71,
Ford Galaxie 500,14.0,8,,,,13.5,71,US
Plymouth Fury iii,14.0,8,318.0,150.0,,13.0,71,US
Dodge Monaco (sw),12.0,,383.0,180.0,,11.5,71,US
Ford Country Squire (sw),13.0,8,400.0,,,12.0,71,US
Pontiac Safari (sw),13.0,8,,175.0,,12.0,71,US
AMC Hornet Sportabout (sw),18.0,6,258.0,,,13.5,71,US
Chevrolet Vega (sw),22.0,4,140.0,72.0,,19.0,71,US
Pontiac Firebird,19.0,6,250.0,100.0,,15.0,71,US
Ford Mustang,18.0,6,250.0,88.0,,14.5,71,US
Mercury Capri 2000,23.0,4,122.0,86.0,,14.0,71,US
Opel 1900,28.0,4,116.0,,,14.0,71,Europe
Peugeot 304,30.0,4,,70.0,,19.5,,Europe
Fiat 124B,30.0,4,88.0,76.0,,14.5,71,Europe
Toyota Corolla 1200,31.0,4,71.0,,,,71,Japan
Datsun 1200,35.0,4,72.0,69.0,,18.0,71,Japan
Volkswagen Model 111,27.0,4,97.0,,,19.0,71,Europe
Plymouth Cricket,26.0,4,91.0,,,20.5,71,US
Toyota Corolla Hardtop,24.0,4,113.0,,,15.5,72,Japan
Dodge Colt Hardtop,25.0,4,97.5,80.0,,17.0,72,US
Volkswagen Type 3,23.0,4,97.0,,,23.5,72,Europe
Chevrolet Vega,20.0,4,,90.0,,19.5,72,US
Ford Pinto Runabout,21.0,4,122.0,,,16.5,72,US
Chevrolet Impala,13.0,8,,,,12.0,72,US
Pontiac Catalina,14.0,8,400.0,175.0,,12.0,72,US
Plymouth Fury III,15.0,,318.0,150.0,,13.5,72,US
Ford Galaxie 500,14.0,8,351.0,,,13.0,72,US
AMC Ambassador SST,17.0,8,304.0,,,11.5,72,US
Mercury Marquis,11.0,8,,,,11.0,72,US
Buick LeSabre Custom,13.0,8,350.0,,,13.5,72,US
Oldsmobile Delta 88 Royale,12.0,,350.0,160.0,,13.5,72,US
Chrysler Newport Royal,13.0,8,400.0,,,12.5,72,US
Mazda RX2 Coupe,19.0,3,70.0,,,13.5,72,Japan
AMC Matador (sw),15.0,8,304.0,150.0,,12.5,72,US
Chevrolet Chevelle Concours (sw),13.0,8,307.0,,,14.0,72,US
Ford Gran Torino (sw),13.0,8,302.0,,,16.0,72,US
Plymouth Satellite Custom (sw),14.0,8,,,,14.0,,US
Volvo 145e (sw),18.0,4,,,,14.5,72,Europe
Volkswagen 411 (sw),22.0,4,121.0,76.0,,18.0,72,Europe
Peugeot 504 (sw),21.0,4,120.0,87.0,,19.5,72,Europe
Renault 12 (sw),26.0,4,96.0,,,18.0,72,Europe
Ford Pinto (sw),22.0,4,,,,16.0,72,US
Datsun 510 (sw),28.0,4,97.0,,,17.0,72,Japan
Toyota Corolla Mark II (sw),23.0,4,120.0,,,14.5,72,Japan
Dodge Colt (sw),28.0,4,,80.0,,15.0,72,US
Toyota Corolla 1600 (sw),27.0,4,97.0,88.0,,16.5,72,Japan
Buick Century 350,13.0,8,,175.0,,13.0,73,US
AMC Matador,14.0,8,304.0,150.0,,11.5,73,US
Chevrolet Malibu,13.0,8,,145.0,,13.0,73,
Ford Gran Torino,14.0,8,302.0,,,14.5,73,US
Dodge Coronet Custom,15.0,8,318.0,150.0,,12.5,73,US
Mercury Marquis Brougham,12.0,8,,,,11.5,73,
Chevrolet Caprice Classic,13.0,8,400.0,150.0,,12.0,73,US
Ford LTD,13.0,8,351.0,158.0,,13.0,73,US
Plymouth Fury Gran Sedan,14.0,8,,,,14.5,73,US
Chrysler New Yorker Brougham,13.0,8,,,,11.0,73,US
Buick Electra 225 Custom,12.0,8,455.0,225.0,,11.0,73,US
AMC Ambassador Brougham,13.0,8,,175.0,,11.0,73,US
Plymouth Valiant,18.0,6,225.0,,,16.5,73,US
Chevrolet Nova Custom,16.0,6,250.0,100.0,,18.0,73,US
AMC Hornet,18.0,6,232.0,100.0,,16.0,73,US
Ford Maverick,18.0,6,250.0,,,16.5,73,US
Plymouth Duster,23.0,6,198.0,,,16.0,73,US
Volkswagen Super Beetle,26.0,4,97.0,,,21.0,,Europe
Chevrolet Impala,11.0,8,400.0,150.0,,14.0,73,US
Ford Country,12.0,8,,167.0,,12.5,73,US
Plymouth Custom Suburb,13.0,8,360.0,,,13.0,73,US
Oldsmobile Vista Cruiser,12.0,8,350.0,180.0,,12.5,73,US
AMC Gremlin,18.0,6,232.0,,,15.0,73,US
Toyota Camry,20.0,4,,,,19.0,73,Japan
Chevrolet Vega,21.0,4,,72.0,,19.5,73,US
Datsun 610,22.0,4,,94.0,,16.5,73,Japan
Mazda RX3,18.0,3,70.0,90.0,,13.5,73,Japan
Ford Pinto,19.0,4,122.0,,,18.5,73,US
Mercury Capri v6,21.0,6,155.0,,,14.0,73,US
Fiat 124 Sport Coupe,26.0,4,98.0,,,15.5,73,Europe
Chevrolet Monte Carlo S,15.0,8,350.0,145.0,,13.0,73,US
Pontiac Grand Prix,16.0,8,,,,9.5,73,US
Fiat 128,29.0,4,68.0,,,19.5,73,Europe
Opel Manta,24.0,4,116.0,75.0,,15.5,73,Europe
Audi 100LS,20.0,4,114.0,,,14.0,73,Europe
Volvo 144ea,19.0,4,121.0,,,,73,Europe
Dodge Dart Custom,15.0,8,318.0,,,11.0,,US
Saab 99le,24.0,,121.0,110.0,,14.0,73,Europe
Toyota Mark II,20.0,6,156.0,122.0,,13.5,73,Japan
Oldsmobile Omega,11.0,8,350.0,,,11.0,73,US
Plymouth Duster,20.0,6,198.0,95.0,,16.5,,US
Ford Maverick,21.0,6,200.0,,,17.0,74,US
AMC Hornet,19.0,6,,,,16.0,74,US
Chevrolet Nova,15.0,6,,100.0,,17.0,74,US
Datsun B210,31.0,4,79.0,,,19.0,74,Japan
Ford Pinto,26.0,4,,80.0,,16.5,74,US
Toyota Corolla 1200,32.0,4,71.0,,,21.0,74,Japan
Chevrolet Vega,25.0,4,140.0,,,17.0,74,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,,,17.0,74,US
AMC Matador,16.0,6,258.0,110.0,,18.0,74,US
Plymouth Satellite Sebring,18.0,,225.0,105.0,,16.5,74,US
Ford Gran Torino,16.0,8,302.0,140.0,,14.0,74,US
Buick Century Luxus (sw),13.0,8,350.0,,,14.5,74,US
Dodge Coronet Custom (sw),14.0,8,318.0,,,13.5,74,US
Ford Gran Torino (sw),14.0,8,,140.0,,16.0,74,US
AMC Matador (sw),14.0,8,304.0,,,15.5,74,US
Audi Fox,29.0,4,98.0,,,16.5,,Europe
Volkswagen Dasher,26.0,4,79.0,67.0,,15.5,74,Europe
Opel Manta,26.0,4,97.0,78.0,,14.5,74,Europe
Toyota Corolla,31.0,4,,,,16.5,74,Japan
Datsun 710,32.0,4,83.0,61.0,,19.0,74,Japan
Dodge Colt,28.0,4,90.0,,,14.5,74,US
Fiat 128,24.0,4,,75.0,,15.5,74,Europe
Fiat 124 TC,26.0,4,116.0,75.0,,,74,Europe
Honda Civic,24.0,4,,97.0,,15.0,74,Japan
Subaru,26.0,4,,93.0,,15.5,74,Japan
Fiat x1.9,31.0,4,79.0,,,16.0,74,Europe
Plymouth Valiant Custom,19.0,6,225.0,,,16.0,75,US
Chevrolet Nova,18.0,6,250.0,,,16.0,75,US
Mercury Monarch,15.0,6,250.0,72.0,,21.0,75,US
Ford Maverick,15.0,6,250.0,,,19.5,75,US
Pontiac Catalina,16.0,8,,170.0,,11.5,75,US
Chevrolet Bel Air,15.0,8,350.0,,,14.0,75,US
Plymouth Grand Fury,16.0,8,318.0,150.0,,14.5,75,US
Ford LTD,14.0,8,,,,13.5,75,US
Buick Century,17.0,6,231.0,,,21.0,75,US
Chevrolete Chevelle Malibu,16.0,6,,,,18.5,75,US
AMC Matador,15.0,6,258.0,,,19.0,75,US
Plymouth Fury,18.0,6,225.0,,,19.0,75,US
Buick Skyhawk,21.0,6,231.0,,,15.0,75,US
Chevrolet Monza 2+2,20.0,8,262.0,,,,75,US
Ford Mustang II,13.0,8,,129.0,,12.0,75,US
Toyota Corolla,29.0,4,97.0,,,16.0,75,Japan
Ford Pinto,23.0,4,140.0,,,17.0,75,US
AMC Gremlin,20.0,6,232.0,,,16.0,75,US
Pontiac Astro,23.0,4,140.0,,,18.5,75,US
Toyota Corolla,24.0,4,134.0,96.0,,13.5,75,Japan
Volkswagen Dasher,25.0,4,90.0,71.0,,16.5,75,Europe
Datsun 710,24.0,4,,97.0,,17.0,75,Japan
Ford Pinto,18.0,6,171.0,,,14.5,75,US
Volkswagen Rabbit,29.0,4,90.0,70.0,,14.0,75,Europe
AMC Pacer,19.0,6,232.0,,,17.0,75,US
Audi 100LS,23.0,4,,,,15.0,75,
Peugeot 504,23.0,4,120.0,88.0,,17.0,75,Europe
Volvo 244DL,22.0,4,121.0,98.0,,14.5,75,Europe
Saab 99LE,25.0,4,121.0,,,,75,Europe
Honda Civic CVCC,33.0,4,,,,17.5,75,Japan
Fiat 131,28.0,4,107.0,,,15.5,76,Europe
Opel 1900,25.0,4,,81.0,,16.9,76,Europe
Capri ii,25.0,4,140.0,,,14.9,76,US
Dodge Colt,26.0,4,98.0,,,17.7,76,US
Renault 12tl,27.0,4,101.0,83.0,,15.3,76,Europe
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,,,13.0,76,US
Dodge Coronet Brougham,16.0,8,318.0,150.0,,13.0,76,US
AMC Matador,15.5,8,,,,13.9,76,US
Ford Gran Torino,14.5,8,,152.0,,12.8,76,US
Plymouth Valiant,22.0,6,225.0,,,15.4,76,US
Chevrolet Nova,22.0,6,250.0,,,14.5,76,US
Ford Maverick,24.0,6,200.0,,,17.6,76,US
AMC Hornet,22.5,6,232.0,90.0,,17.6,76,US
Chevrolet Chevette,29.0,4,85.0,,,22.2,76,
Chevrolet Woody,24.5,4,98.0,,,,76,US
Volkswagen Rabbit,29.0,4,90.0,,,14.2,76,Europe
Honda Civic,33.0,4,91.0,53.0,,17.4,76,Japan
Dodge Aspen SE,20.0,6,225.0,100.0,,17.7,76,US
Ford Grenada ghia,18.0,6,,,,21.0,76,
Pontiac Ventura SJ,18.5,6,,,,16.2,76,US
AMC Pacer d/l,17.5,6,258.0,,,17.8,76,US
Volkswagen Rabbit,29.5,4,97.0,,,12.2,76,Europe
Datsun B-210,32.0,4,85.0,70.0,,17.0,76,Japan
Toyota Corolla,28.0,4,97.0,75.0,,16.4,76,Japan
Ford Pinto,26.5,4,140.0,,,13.6,76,US
Volvo 245,20.0,4,130.0,,,15.7,76,Europe
Plymouth Volare Premier v8,13.0,8,,,,13.2,76,US
Peugeot 504,19.0,4,120.0,88.0,,21.9,76,Europe
Toyota Mark II,19.0,,156.0,,,15.5,76,Japan
Mercedes-Benz 280s,16.5,6,168.0,,,16.7,76,Europe
Cadillac Seville,16.5,8,350.0,,,12.1,76,US
Chevrolet C10,13.0,8,350.0,145.0,,12.0,,US
Ford F108,13.0,,302.0,,,15.0,76,US
Dodge D100,13.0,8,318.0,,,14.0,76,US
Honda Accord CVCC,31.5,4,,68.0,,18.5,77,
Buick Opel Isuzu Deluxe,30.0,4,111.0,,,14.8,77,US
Renault 5 GTL,36.0,,79.0,,,18.6,77,Europe
Plymouth Arrow GS,25.5,4,122.0,,,15.5,77,US
Datsun F-10 Hatchback,33.5,4,85.0,70.0,,16.8,77,Japan
Chevrolet Caprice Classic,17.5,8,305.0,145.0,,12.5,77,US
Oldsmobile Cutlass Supreme,17.0,8,260.0,,,19.0,77,US
Dodge Monaco Brougham,15.5,8,318.0,,,13.7,77,US
Mercury Cougar Brougham,15.0,8,302.0,130.0,,14.9,77,US
Chevrolet Concours,17.5,6,,,,16.4,77,US
Buick Skylark,20.5,6,231.0,,,16.9,,US
Plymouth Volare Custom,19.0,6,225.0,,,17.7,77,US
Ford Grenada,18.5,6,250.0,98.0,,19.0,77,US
Pontiac Grand Prix LJ,16.0,8,400.0,180.0,,11.1,77,US
Chevrolet Monte Carlo Landau,15.5,8,350.0,170.0,,11.4,77,
Chrysler Cordoba,15.5,8,,190.0,,12.2,77,US
Ford Thunderbird,16.0,8,351.0,,,14.5,77,US
Volkswagen Rabbit Custom,29.0,4,97.0,78.0,,14.5,77,Europe
Pontiac Sunbird Coupe,24.5,4,,88.0,,16.0,77,US
Toyota Corolla Liftback,26.0,4,97.0,,,18.2,77,Japan
Ford Mustang II 2+2,25.5,4,140.0,89.0,,15.8,77,US
Chevrolet Chevette,30.5,4,98.0,63.0,,17.0,77,US
Dodge Colt m/m,33.5,4,98.0,83.0,,,77,US
Subaru DL,30.0,4,97.0,,,16.4,77,Japan
Volkswagen Dasher,30.5,4,97.0,78.0,,14.1,77,Europe
Datsun 810,22.0,6,146.0,97.0,,14.5,77,Japan
BMW 320i,21.5,4,,110.0,,12.8,77,Europe
Mazda RX-4,21.5,3,80.0,,,13.5,77,Japan
Volkswagen Rabbit Custom Diesel,43.1,4,90.0,48.0,,21.5,78,Europe
Ford Fiesta,36.1,4,98.0,,,14.4,78,
Mazda GLC Deluxe,32.8,4,78.0,52.0,,19.4,78,Japan
Datsun B210 GX,39.4,4,,70.0,,18.6,78,Japan
Honda Civic CVCC,36.1,4,91.0,,,16.4,78,Japan
Oldsmobile Cutlass Salon Brougham,19.9,8,,,,15.5,78,US
Dodge Diplomat,19.4,,318.0,140.0,,13.2,,US
Mercury Monarch ghia,20.2,,,,,12.8,78,US
Pontiac Phoenix LJ,19.2,6,231.0,105.0,,19.2,78,US
Chevrolet Malibu,20.5,6,200.0,,,18.2,78,US
Ford Fairmont (auto),20.2,6,200.0,85.0,,15.8,78,US
Ford Fairmont (man),25.1,4,140.0,,,15.4,78,US
Plymouth Volare,20.5,6,,,,17.2,78,US
AMC Concord,19.4,6,232.0,90.0,,17.2,78,US
Buick Century Special,20.6,6,,105.0,,15.8,78,US
Mercury Zephyr,20.8,6,,85.0,,16.7,78,US
Dodge Aspen,18.6,6,225.0,,,18.7,78,US
AMC Concord d/l,18.1,6,258.0,120.0,,15.1,78,US
Chevrolet Monte Carlo Landau,19.2,8,305.0,145.0,,13.2,78,US
Buick Regal Sport Coupe (turbo),17.7,6,,,,13.4,78,US
Ford Futura,18.1,8,302.0,,,11.2,78,
Dodge Magnum XE,17.5,8,318.0,,,13.7,78,US
Chevrolet Chevette,30.0,4,98.0,,,16.5,78,US
Toyota Corolla,27.5,4,134.0,,,14.2,78,Japan
Datsun 510,27.2,4,,,,14.7,78,Japan
Dodge Omni,30.9,4,,,,14.5,78,US
Toyota Celica GT Liftback,21.1,4,134.0,,,14.8,78,Japan
Plymouth Sapporo,23.2,4,,105.0,,16.7,78,
Oldsmobile Starfire SX,23.8,4,151.0,85.0,,17.6,78,US
Datsun 200-SX,23.9,4,,,,14.9,78,Japan
Audi 5000,20.3,5,131.0,103.0,,15.9,78,Europe
Volvo 264gl,17.0,6,163.0,,,13.6,78,Europe
Saab 99gle,21.6,4,121.0,,,15.7,78,Europe
Peugeot 604sl,16.2,6,163.0,133.0,,15.8,78,Europe
Volkswagen Scirocco,31.5,4,89.0,,,14.9,78,Europe
Honda Accord LX,29.5,4,98.0,,,16.6,78,Japan
Pontiac Lemans V6,21.5,6,231.0,,,15.4,79,US
Mercury Zephyr 6,19.8,6,200.0,,,18.2,79,US
Ford Fairmont 4,22.3,4,140.0,,,,79,
AMC Concord DL 6,20.2,6,,,,18.2,79,US
Dodge Aspen 6,20.6,6,225.0,,,16.6,79,US
Chevrolet Caprice Classic,17.0,,305.0,130.0,,15.4,79,US
Ford LTD Landau,17.6,8,,,,13.4,79,US
Mercury Grand Marquis,16.5,8,351.0,,,13.2,79,US
Dodge St. Regis,18.2,8,318.0,,,15.2,79,US
Buick Estate Wagon (sw),16.9,8,,,,14.9,79,US
Ford Country Squire (sw),15.5,8,,142.0,,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267.0,,,15.0,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,,,13.0,79,US
Volkswagen Rabbit Custom,31.9,4,89.0,,,14.0,79,Europe
Mazda GLC Deluxe,34.1,4,86.0,,,15.2,79,Japan
Dodge Colt Hatchback Custom,35.7,4,98.0,,,14.4,79,US
AMC Spirit DL,27.4,4,121.0,80.0,,15.0,79,US
Mercedes Benz 300d,25.4,5,,,,20.1,79,
Cadillac Eldorado,23.0,8,350.0,,,17.4,79,US
Peugeot 504,27.2,4,141.0,71.0,,24.8,79,Europe
Oldsmobile Cutlass Salon Brougham,23.9,8,260.0,,,22.2,79,US
Plymouth Horizon,34.2,4,105.0,70.0,,,79,US
Plymouth Horizon TC3,34.5,4,105.0,,,14.9,79,US
Datsun 210,31.8,4,,65.0,,19.2,79,Japan
Fiat Strada Custom,37.3,4,,,,14.7,79,Europe
Buick Skylark Limited,28.4,4,151.0,90.0,,16.0,79,US
Chevrolet Citation,28.8,6,173.0,,,11.3,79,US
Oldsmobile Omega Brougham,26.8,6,173.0,,,12.9,79,US
Pontiac Phoenix,33.5,4,151.0,90.0,,13.2,,US
Volkswagen Rabbit,41.5,4,98.0,,,14.7,80,Europe
Toyota Corolla Tercel,38.1,4,,,,18.8,80,Japan
Chevrolet Chevette,32.1,4,98.0,,,15.5,80,US
Datsun 310,37.2,,86.0,65.0,,16.4,80,Japan
Chevrolet Citation,28.0,4,,90.0,,16.5,80,US
Ford Fairmont,26.4,4,,,,18.1,80,US
AMC Concord,24.3,4,,90.0,,20.1,80,US
Dodge Aspen,19.1,,225.0,,,18.7,80,US
Audi 4000,34.3,4,,,,15.8,80,Europe
Toyota Corolla Liftback,29.8,4,134.0,,,15.5,,Japan
Mazda 626,31.3,4,,,,17.5,80,Japan
Datsun 510 Hatchback,37.0,4,119.0,92.0,,15.0,80,Japan
Toyota Corolla,32.2,4,108.0,,,15.2,80,Japan
Mazda GLC,46.6,,86.0,,,17.9,80,Japan
Dodge Colt,27.9,4,156.0,,,14.4,80,
Datsun 210,40.8,4,,65.0,,19.2,80,Japan
Volkswagen Rabbit C (Diesel),44.3,4,90.0,,,21.7,80,Europe
Volkswagen Dasher (diesel),43.4,4,,,,23.7,80,Europe
Audi 5000s (diesel),36.4,5,121.0,67.0,,19.9,80,Europe
Mercedes-Benz 240d,30.0,4,,67.0,,21.8,80,Europe
Honda Civic 1500 gl,44.6,4,,67.0,,13.8,80,Japan
Renault Lecar Deluxe,40.9,4,85.0,,,17.3,80,Europe
Subaru DL,33.8,4,97.0,,,18.0,80,Japan
Volkswagen Rabbit,29.8,4,89.0,,,15.3,80,Europe
Datsun 280-ZX,32.7,6,,,,11.4,80,Japan
Mazda RX-7 GS,23.7,3,,,,12.5,80,Japan
Triumph TR7 Coupe,35.0,4,122.0,88.0,,15.1,80,
Ford Mustang Cobra,23.6,4,140.0,0.0,,14.3,80,US
Honda Accord,32.4,4,,,,17.0,80,Japan
Plymouth Reliant,27.2,4,135.0,84.0,,15.7,81,US
Buick Skylark,26.6,4,151.0,,,16.4,81,US
Dodge Aries Wagon (sw),25.8,4,,,,14.4,81,US
Chevrolet Citation,23.5,6,173.0,,,12.6,81,US
Plymouth Reliant,30.0,4,135.0,84.0,,12.9,81,US
Toyota Starlet,39.1,4,,58.0,,16.9,81,Japan
Plymouth Champ,39.0,4,86.0,,,16.4,,US
Honda Civic 1300,35.1,4,81.0,,,16.1,81,Japan
Subaru,32.3,4,,,,17.8,81,Japan
Datsun 210 MPG,37.0,4,,,,19.4,81,Japan
Toyota Tercel,37.7,4,89.0,,,17.3,81,
Mazda GLC 4,34.1,4,,,,16.0,81,Japan
Plymouth Horizon 4,34.7,4,105.0,,,14.9,81,US
Ford Escort 4W,34.4,4,,,,16.2,81,US
Ford Escort 2H,29.9,4,,,,20.7,,US
Volkswagen Jetta,33.0,4,,74.0,,,81,Europe
Renault 18i,34.5,4,100.0,0.0,,15.8,81,Europe
Honda Prelude,33.7,4,107.0,75.0,,14.4,81,Japan
Toyota Corolla,32.4,4,108.0,75.0,,16.8,81,Japan
Datsun 200SX,32.9,4,,,,14.8,81,Japan
Mazda 626,31.6,4,120.0,,,18.3,81,
Peugeot 505s Turbo Diesel,28.1,4,141.0,,,20.4,81,Europe
Saab 900s,0.0,4,,110.0,,15.4,81,Europe
Volvo Diesel,30.7,6,145.0,,,19.6,81,Europe
Toyota Cressida,25.4,6,168.0,116.0,,12.6,81,Japan
Datsun 810 Maxima,24.2,6,146.0,,,13.8,81,Japan
Buick Century,22.4,6,231.0,110.0,,15.8,81,US
Oldsmobile Cutlass LS,26.6,8,350.0,105.0,,19.0,81,US
Ford Grenada gl,20.2,6,200.0,88.0,,17.1,81,US
Chrysler Lebaron Salon,17.6,6,225.0,85.0,,16.6,81,US
Chevrolet Cavalier,28.0,4,,,,19.6,82,US
Chevrolet Cavalier Wagon,27.0,4,,,,18.6,82,US
Chevrolet Cavalier 2-door,34.0,4,112.0,,,,82,US
Pontiac J2000 SE Hatchback,31.0,4,,85.0,,16.2,82,US
Dodge Aries SE,29.0,4,135.0,,,16.0,82,US
Pontiac Phoenix,27.0,4,,90.0,,18.0,82,US
Ford Fairmont Futura,24.0,4,,,,16.4,82,US
AMC Concord DL,23.0,4,151.0,,,20.5,82,US
Volkswagen Rabbit l,36.0,4,105.0,,,15.3,82,Europe
Mazda GLC Custom l,37.0,4,91.0,68.0,,18.2,82,Japan
Mazda GLC Custom,31.0,4,,,,17.6,82,Japan
Plymouth Horizon Miser,38.0,4,,,,14.7,82,US
Mercury Lynx l,36.0,4,98.0,,,17.3,82,US
Nissan Stanza XE,36.0,4,120.0,88.0,,14.5,82,Japan
Honda Accord,36.0,4,107.0,,,14.5,82,Japan
Toyota Corolla,34.0,4,,70.0,,16.9,82,Japan
Honda Civic,38.0,,91.0,,,15.0,82,Japan
Honda Civic (auto),32.0,4,91.0,,,,82,Japan
Datsun 310 GX,38.0,4,91.0,,,16.2,,Japan
Buick Century Limited,25.0,6,181.0,110.0,,16.4,82,US
Oldsmobile Cutlass Ciera (diesel),38.0,6,262.0,85.0,,17.0,82,US
Chrysler Lebaron Medallion,26.0,4,156.0,92.0,,14.5,82,US
Ford Grenada l,22.0,6,232.0,,,14.7,82,US
Toyota Celica GT,32.0,4,144.0,,,13.9,82,Japan
Dodge Charger 2.2,36.0,4,,84.0,,13.0,82,US
Chevrolet Camaro,27.0,4,,,,17.3,82,US
Ford Mustang GL,27.0,4,,,,,82,US
Volkswagen Pickup,44.0,4,,,,24.6,82,Europe
Dodge Rampage,32.0,4,135.0,84.0,,11.6,82,US
Ford Ranger,28.0,4,120.0,79.0,,18.6,82,US
Chevy S-10,31.0,4,119.0,82.0,,19.4,82,US
